one, two, 1, 2, 3, 4, 6, 8, 9, 7, three, four
some, other, 1, 2, 4, 7, 10, 54, 3, -1, random, words
apple, banana, 5, 8, 12, 3, 9, 7, 2, 11, orange, grapefruit
cat, dog, 2, 4, 7, 10, 6, 13, 1, -3, bird, rabbit
chair, table, 3, 6, 9, 12, 15, 18, 21, 24, lamp, shelf
car, bicycle, 7, 14, 21, 28, 35, 42, 49, 56, motorcycle, truck
sun, moon, 2, 5, 8, 11, 14, 17, 20, 23, star, planet
pen, pencil, 9, 18, 27, 36, 45, 54, 63, 72, eraser, marker
red, blue, 4, 8, 12, 16, 20, 24, 28, 32, green, yellow
chair, sofa, 6, 12, 18, 24, 30, 36, 42, 48, table, lamp
apple, orange, 3, 6, 9, 12, 15, 18, 21, 24, banana, pineapple
book, notebook, 8, 16, 24, 32, 40, 48, 56, 64, pen, ruler